procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 11455552  32356 652340    0    0    66    15  339  217  3  1 96  0  0
 0  0      0 11446912  32356 652340    0    0     0     8 7200 2553  1  1 98  0  0
 2  0      0 11436832  32356 652340    0    0     0     0 10947 2389  1  0 99  0  0
 0  0      0 11423736  32364 652548    0    0   256   104 10534 6893  8  1 91  0  0
 0  0      0 11413656  32364 652548    0    0     0     0 11389 3123  1  0 98  0  0
 0  0      0 11403468  32364 652548    0    0     0   120 9597 1964  0  0 99  0  0
 1  0      0 11393260  32364 652548    0    0     0     0 3340 1048  1  0 99  0  0
 0  0      0 11382800  32364 652548    0    0     0    20 10731 2053  1  0 99  0  0
 1  0      0 11374884  32372 652548    0    0     0    96 11172 2977  1  0 99  0  0
 0  0      0 11364584  32372 652548    0    0     0     4 8733 3663  2  1 97  0  0
 1  0      0 11353876  32372 652548    0    0     0     0 11152 2893  1  0 99  0  0
